subject_id,trials,mean_accuracy,mean_macro_f1,fold_accuracies,fold_macro_f1
0,40,0.425,0.20196969696969697,"[0.5, 0.625, 0.375, 0.25, 0.375]","[0.16666666666666666, 0.4318181818181818, 0.13636363636363635, 0.125, 0.15]"
1,40,0.35,0.22202380952380948,"[0.125, 0.375, 0.125, 0.625, 0.5]","[0.0625, 0.21428571428571427, 0.0625, 0.47916666666666663, 0.29166666666666663]"
2,40,0.5,0.3485714285714286,"[0.5, 0.5, 0.5, 0.375, 0.625]","[0.34285714285714286, 0.3333333333333333, 0.31666666666666665, 0.25, 0.5]"
3,40,0.45,0.16944444444444443,"[0.25, 0.5, 0.5, 0.5, 0.5]","[0.125, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.2222222222222222]"
4,40,0.225,0.18023809523809523,"[0.375, 0.375, 0.0, 0.125, 0.25]","[0.3214285714285714, 0.325, 0.0, 0.07142857142857142, 0.18333333333333335]"
