model,normalization,accuracy,macro_f1,weighted_f1
Temporal SNN,per_subject_per_channel,0.484375,0.4188620902906617,0.45508851267779843
CNN-SNN,per_subject_per_channel,0.21875,0.1516614420062696,0.15122648902821317
