experiment,feature_shape,accuracy,macro_f1,weighted_f1
Baseline Temporal SNN,"[1280, 10, 200]",0.4296875,0.41552405468120457,0.4265984267012227
Symmetric Difference Temporal SNN,"[1280, 10, 70]",0.4296875,0.3860520416597599,0.4107523432459971
