SEED_SNN_MODE,learning_rate,epochs,dropout,beta,class_weight,best_epoch,accuracy,macro_f1,weighted_f1,val_macro_f1,is_best
strong,0.0005,100,0.2,0.95,,5,0.3845020624631703,0.32287481211936836,0.31926877613169147,1.0,False
strong,0.0005,100,0.2,0.95,balanced,4,0.442054606167747,0.3834920991712842,0.3794642440151648,1.0,False
strong,0.0003,100,0.2,0.95,,9,0.3285209192692988,0.2650992535121373,0.2605731769976358,1.0,False
strong,0.0003,100,0.2,0.95,balanced,7,0.4709290905519544,0.4411621453805039,0.4389735491164297,1.0,True
