dataset,model,split_mode,normalization_mode,accuracy,macro_f1,weighted_f1,params,notes
SEED,Logistic Regression,trial,train_only_standard,0.34,0.34022746723327124,0.3403874604967128,"{""model"": ""LogisticRegression"", ""C"": 1.0, ""max_iter"": 1000}","Flattened X shape 310; split={'split_mode': 'trial', 'test_size': 0.2, 'random_state': 42, 'train_samples': 1200, 'test_samples': 300}"
SEED,Temporal SNN,trial,train_only_standard,0.3333333333333333,0.333291801301754,0.33330076321362856,"{""mode"": ""seed_temporal"", ""temporal"": true, ""num_classes"": 3, ""time_steps"": 5, ""features_per_step"": 62, ""hidden_size"": 128, ""second_hidden_size"": 64, ""beta"": 0.95, ""dropout"": 0.2, ""learning_rate"": 0.0005, ""epochs"": 50, ""batch_size"": 128, ""class_weight"": null}","Input (batch, 5, 62); split={'split_mode': 'trial', 'test_size': 0.2, 'random_state': 42, 'train_samples': 1200, 'test_samples': 300}"
